source,target,weight
John Berryman,Vendler_Contemporary American Poetry_1985,1
Mei-mei Berssenbrugge,PennSound,1
Mei-mei Berssenbrugge,voca,1
James Bertram,Dacey_Strong Measures_1986,1
Jen Bervin,PennSound,1
Jen Bervin,voca,1
Frank Bidart,voca,1
Frank Bidart,Halpern_The New Poetry Anthology_1975,1
Frank Bidart,McClatchy_Contemporary American Poetry_1990,1
Frank Bidart,Vendler_Contemporary American Poetry_1985,1
Elizabeth Bishop,Ciardi_Mid-Century American Poets_1950,1
Elizabeth Bishop,Dacey_Strong Measures_1986,1
Elizabeth Bishop,Elliott_Fifteen Modern American Poets_1956,1
Elizabeth Bishop,McClatchy_Contemporary American Poetry_1990,1
Elizabeth Bishop,Vendler_Contemporary American Poetry_1985,1
Sherwin Bitsui,voca,1
Paul Blackburn,PennSound,1
Brian Blanchfield,voca,1
Robin Blaser,PennSound,1
Chana Bloch,Smith_The Morrow Anthology_1985,1
Ron Block,Dacey_Strong Measures_1986,1
Michael Blumenthal,Smith_The Morrow Anthology_1985,1
Michael Blumenthal,Vendler_Contemporary American Poetry_1985,1
Robert Bly,Elliston,1
Robert Bly,voca,1
Robert Bly,Hall_New Poets of England and America_1957,1
Louise Bogan,voca,1
Christian Bök,PennSound,1
Christian Bök,UbuWeb,1
Christian Bök,voca,1
Eavan Boland,voca,1
Philip Booth,Dacey_Strong Measures_1986,1
Philip Booth,Hall_New Poets of England and America_1957,1
Daniel Borzutzky,voca,1
David Bottoms,Smith_The Morrow Anthology_1985,1
Anne Boyer,PennSound,1
Edgar Bowers,Hall_New Poets of England and America_1957,1
Edgar Bowers,McClatchy_Contemporary American Poetry_1990,1
Kamau Brathwaite,PennSound,1
George Brecht,UbuWeb,1
John Bricuth,Dacey_Strong Measures_1986,1
Van K. Brock,Dacey_Strong Measures_1986,1
Jim Brodey,PennSound,1
William Bronk,Elliston,1
William Bronk,PennSound,1
Gwendolyn Brooks,Dacey_Strong Measures_1986,1
Nicole Brossard,PennSound,1
Lee Ann Brown,PennSound,1
Lee Ann Brown,voca,1
Rosellen Brown,Elliston,1
Rosellen Brown,Finch_A Formal Feeling Comes_1994,1
Sterling A. Brown,PennSound,1
Laynie Browne,PennSound,1
Laynie Browne,voca,1
Michael Dennis Browne,voca,1
Michael Dennis Browne,Dacey_Strong Measures_1986,1
Michael Dennis Browne,Halpern_The New Poetry Anthology_1975,1
Michael Brownstein,PennSound,1
Debra Bruce,Finch_A Formal Feeling Comes_1994,1
Sharon Bryan,Smith_The Morrow Anthology_1985,1
Julia Budenz,Finch_A Formal Feeling Comes_1994,1
Charles Bukowski,UbuWeb,1
Michael Burkard,Elliston,1
Michael Burkard,voca,1
Stanley Burnshaw,PennSound,1
William S. Burroughs,UbuWeb,1
David Buuck,PennSound,1
John Cage,UbuWeb,1
Rafael Campo,Elliston,1
Rafael Campo,voca,1
Rafael Campo,Jarman_Rebel Angels_1996,1
Augusto de Campos,UbuWeb,1
Haroldo de Campos,UbuWeb,1
Melissa Cannon,Finch_A Formal Feeling Comes_1994,1
Henri Chopin,UbuWeb,1
Nick Carbó,Elliston,1
Henry Carlile,voca,1
Henry Carlile,Dacey_Strong Measures_1986,1
Julie Carr,PennSound,1
Julie Carr,voca,1
Hayden Carruth,voca,1
Hayden Carruth,Dacey_Strong Measures_1986,1
Turner Cassity,Elliston,1
Turner Cassity,Dacey_Strong Measures_1986,1
Charles Causley,Hall_New Poets of England and America_1957,1
Joseph Ceravolo,PennSound,1
Joseph Ceravolo,UbuWeb,1
Lorna Dee Cervantes,voca,1
Fred Chappell,Dacey_Strong Measures_1986,1
Maxine Chernoff,PennSound,1
Maxine Chernoff,voca,1
Kelly Cherry,Dacey_Strong Measures_1986,1
Kelly Cherry,Finch_A Formal Feeling Comes_1994,1
Abigail Child,PennSound,1
Marilyn Chin,voca,1
Nicholas Christopher,Smith_The Morrow Anthology_1985,1
John Ciardi,voca,1
John Ciardi,Ciardi_Mid-Century American Poets_1950,1
John Ciardi,Dacey_Strong Measures_1986,1
Sandra Cisneros,voca,1
Sandra Cisneros,Finch_A Formal Feeling Comes_1994,1
Amy Clampitt,Elliston,1
Amy Clampitt,Dacey_Strong Measures_1986,1
Amy Clampitt,McClatchy_Contemporary American Poetry_1990,1
Amy Clampitt,Vendler_Contemporary American Poetry_1985,1
Cheryl Clarke,Finch_A Formal Feeling Comes_1994,1
Carlfriedrich Claus,UbuWeb,1
Lucille Clifton,voca,1
Lucille Clifton,Halpern_The New Poetry Anthology_1975,1
Claude Closky,UbuWeb,1
Joshua Clover,PennSound,1
Joshua Clover,voca,1
Bob Cobbing,UbuWeb,1
Henri Cole,Elliston,1
Norma Cole,PennSound,1
Wanda Coleman,Elliston,1
Wanda Coleman,PennSound,1
Martha Collins,Elliston,1
Martha Collins,Dacey_Strong Measures_1986,1
Conyus,Halpern_The New Poetry Anthology_1975,1
Peter Cooley,Elliston,1
Peter Cooley,Dacey_Strong Measures_1986,1
Peter Cooley,Halpern_The New Poetry Anthology_1975,1
Peter Cooley,Smith_The Morrow Anthology_1985,1
Clark Coolidge,PennSound,1
Clark Coolidge,voca,1
Dennis Cooper,UbuWeb,1
Jane Cooper,Elliston,1
Jane Cooper,Dacey_Strong Measures_1986,1
William Corbett,PennSound,1
Martin Corless-Smith,PennSound,1
Cid Corman,PennSound,1
Cid Corman,Dacey_Strong Measures_1986,1
Alfred Corn,Elliston,1
Alfred Corn,Dacey_Strong Measures_1986,1
Alfred Corn,McClatchy_Contemporary American Poetry_1990,1
Alfred Corn,Smith_The Morrow Anthology_1985,1
Gregory Corso,PennSound,1
Gregory Corso,Dacey_Strong Measures_1986,1
Jayne Cortez,UbuWeb,1
Gerald Costanzo,Elliston,1
Gerald Costanzo,Smith_The Morrow Anthology_1985,1
Henri Coulette,Hall_New Poets of England and America_1957,1
Hart Crane,PennSound,1
Robert Creeley,Elliston,1
Robert Creeley,PennSound,1
Robert Creeley,UbuWeb,1
Robert Creeley,voca,1
Robert Creeley,Dacey_Strong Measures_1986,1
Robert Creeley,McClatchy_Contemporary American Poetry_1990,1
Victor Hernández Cruz,PennSound,1
J. V. Cunningham,Dacey_Strong Measures_1986,1
J. V. Cunningham,McClatchy_Contemporary American Poetry_1990,1
Philip Dacey,Dacey_Strong Measures_1986,1
Philip Dacey,Halpern_The New Poetry Anthology_1975,1
Beverly Dahlen,PennSound,1
Beverly Dahlen,voca,1
Maria Damon,PennSound,1
Tina Darragh,PennSound,1
Glover David,Dacey_Strong Measures_1986,1
Michael Davidson,PennSound,1
Donald Davie,Elliston,1
Donald Davie,Hall_New Poets of England and America_1957,1
Alan Davies,PennSound,1
Catherine Davis,Finch_A Formal Feeling Comes_1994,1
Catherine Davis,Hall_New Poets of England and America_1957,1
Jordan Davis,PennSound,1
Lydia Davis,PennSound,1
Lydia Davis,voca,1
Olena Kalytiak Davis,voca,1
Peter Davison,Elliston,1
Peter Davison,Dacey_Strong Measures_1986,1
Jean Day,PennSound,1
Walter De Maria,UbuWeb,1
Mónica de la Torre,PennSound,1
Mónica de la Torre,voca,1
Edwin Denby,PennSound,1
Jeff Derksen,PennSound,1
Toi Derricotte,voca,1
Babette Deutsch,PennSound,1
Thomas Devaney,PennSound,1
Christopher Dewdney,PennSound,1
W. S. Di Piero,voca,1
W. S. Di Piero,Smith_The Morrow Anthology_1985,1
James Dickey,Dacey_Strong Measures_1986,1
James Dickey,McClatchy_Contemporary American Poetry_1990,1
James Dickey,Vendler_Contemporary American Poetry_1985,1
Emily Dickinson,PennSound,1
Linh Dinh,PennSound,1
Ray DiPalma,PennSound,1
Thomas M. Disch,Dacey_Strong Measures_1986,1
Thomas M. Disch,Jarman_Rebel Angels_1996,1
Marcel Duchamp,UbuWeb,1
Stephen Dobyns,voca,1
Stephen Dobyns,Smith_The Morrow Anthology_1985,1
Owen Dodson,voca,1
Timothy Donnelly,voca,1
Stacy Doris,PennSound,1
Edward Dorn,Elliston,1
Edward Dorn,PennSound,1
Edward Dorn,UbuWeb,1
Mark Doty,Elliston,1
Mark Doty,voca,1
Keith Douglas,Hall_New Poets of England and America_1957,1
Rita Dove,Elliston,1
Rita Dove,voca,1
Rita Dove,Finch_A Formal Feeling Comes_1994,1
Rita Dove,Halpern_The New Poetry Anthology_1975,1
Rita Dove,McClatchy_Contemporary American Poetry_1990,1
Rita Dove,Smith_The Morrow Anthology_1985,1
Rita Dove,Vendler_Contemporary American Poetry_1985,1
Philip Dow,Halpern_The New Poetry Anthology_1975,1
Suzanne J. Doyle,Finch_A Formal Feeling Comes_1994,1
Lynne Dreyer,PennSound,1
Johanna Drucker,PennSound,1
Norman Dubie,voca,1
Norman Dubie,Halpern_The New Poetry Anthology_1975,1
Norman Dubie,Smith_The Morrow Anthology_1985,1
Alan Dugan,voca,1
Alan Dugan,Dacey_Strong Measures_1986,1
Denise Duhamel,Elliston,1
Robert Duncan,Elliston,1
Robert Duncan,PennSound,1
Robert Duncan,McClatchy_Contemporary American Poetry_1990,1
Stephen Dunn,Elliston,1
Stephen Dunn,voca,1
Stephen Dunn,Dacey_Strong Measures_1986,1
Stephen Dunn,Halpern_The New Poetry Anthology_1975,1
Rachel Blau DuPlessis,PennSound,1
Craig Dworkin,PennSound,1
Craig Dworkin,voca,1
Bob Dylan,UbuWeb,1
Richard Eberhart,Elliston,1
Richard Eberhart,voca,1
Richard Eberhart,Ciardi_Mid-Century American Poets_1950,1
Richard Eberhart,Elliott_Fifteen Modern American Poets_1956,1
Russell Edson,Elliston,1
Russell Edson,Halpern_The New Poetry Anthology_1975,1
Gretel Ehrlich,voca,1
Gretel Ehrlich,Smith_The Morrow Anthology_1985,1
Larry Eigner,PennSound,1
Thomas Sayers Ellis,PennSound,1
Thomas Sayers Ellis,voca,1
Kenward Elmslie,PennSound,1
Laura Elrick,PennSound,1
Lynn Emanuel,Elliston,1
Lynn Emanuel,voca,1
Lynn Emanuel,Smith_The Morrow Anthology_1985,1
John Engels,Dacey_Strong Measures_1986,1
Daniel Mark Epstein,Smith_The Morrow Anthology_1985,1
Elaine Equi,PennSound,1
Clayton Eshleman,Elliston,1
Clayton Eshleman,PennSound,1
Martín Espada,voca,1
Rhina P. Espaillat,Finch_A Formal Feeling Comes_1994,1
George Evans,Elliston,1
Peter Everwine,voca,1
Dan Farrell,PennSound,1
Julie Fay,Finch_A Formal Feeling Comes_1994,1
Frederick Feirstein,Dacey_Strong Measures_1986,1
Frederick Feirstein,Jarman_Rebel Angels_1996,1
Irving Feldman,McClatchy_Contemporary American Poetry_1990,1
Susan Feldman,Halpern_The New Poetry Anthology_1975,1
Lawrence Ferlinghetti,PennSound,1
Lawrence Ferlinghetti,voca,1
Edward Field,Elliston,1
Edward Field,voca,1
Annie Finch,Elliston,1
Annie Finch,Finch_A Formal Feeling Comes_1994,1
Donald Finkel,Hall_New Poets of England and America_1957,1
Robert Fitterman,PennSound,1
Robert Fitterman,UbuWeb,1
Nick Flynn,voca,1
Calvin Forbes,Smith_The Morrow Anthology_1985,1
Carolyn Forché,Elliston,1
Carolyn Forché,voca,1
Carolyn Forché,Halpern_The New Poetry Anthology_1975,1
Carolyn Forché,Smith_The Morrow Anthology_1985,1
Kathleen Fraser,PennSound,1
Kathleen Fraser,voca,1
Kathleen Fraser,Halpern_The New Poetry Anthology_1975,1
Benjamin Friedlander,PennSound,1
Carol Frost,Elliston,1
Joanna Fuhrman,PennSound,1
Heather Fuller,PennSound,1
Alice Fulton,Elliston,1
Alice Fulton,voca,1
Christopher Funkhouser,PennSound,1
Tess Gallagher,Elliston,1
Tess Gallagher,voca,1
Tess Gallagher,Halpern_The New Poetry Anthology_1975,1
Tess Gallagher,Smith_The Morrow Anthology_1985,1
James Galvin,voca,1
Forrest Gander,PennSound,1
Forrest Gander,voca,1
Suzanne Gardinier,voca,1
Drew Gardner,PennSound,1
Isabella Gardner,Elliston,1
Ilse Garnier,UbuWeb,1
Pierre Garnier,UbuWeb,1
George Garrett,Elliston,1
George Garrett,voca,1
George Garrett,Dacey_Strong Measures_1986,1
Jean Garrigue,McClatchy_Contemporary American Poetry_1990,1
Joan Austin Geier,Finch_A Formal Feeling Comes_1994,1
Susan Gevirtz,PennSound,1
Reginald Gibbons,voca,1
Reginald Gibbons,Smith_The Morrow Anthology_1985,1
Margaret Gibson,Smith_The Morrow Anthology_1985,1
Lawrence Giffin,PennSound,1
Christopher Gilbert,Smith_The Morrow Anthology_1985,1
Gary Gildner,Dacey_Strong Measures_1986,1
Gary Gildner,Halpern_The New Poetry Anthology_1975,1
Carmen Giménez Smith,voca,1
Madeline Gins,PennSound,1
Allen Ginsberg,Elliston,1
Allen Ginsberg,PennSound,1
Allen Ginsberg,UbuWeb,1
Allen Ginsberg,voca,1
Allen Ginsberg,Dacey_Strong Measures_1986,1
Allen Ginsberg,McClatchy_Contemporary American Poetry_1990,1
Allen Ginsberg,Vendler_Contemporary American Poetry_1985,1
Dana Gioia,Elliston,1
Dana Gioia,Jarman_Rebel Angels_1996,1
John Giorno,PennSound,1
John Giorno,UbuWeb,1
Nikki Giovanni,Elliston,1
Nikki Giovanni,voca,1
C. S. Giscombe,Elliston,1
C. S. Giscombe,PennSound,1
Peter Gizzi,voca,1
Louise Glück,Elliston,1
Louise Glück,voca,1
Louise Glück,Dacey_Strong Measures_1986,1
Louise Glück,Halpern_The New Poetry Anthology_1975,1
Louise Glück,McClatchy_Contemporary American Poetry_1990,1
Louise Glück,Smith_The Morrow Anthology_1985,1
Louise Glück,Vendler_Contemporary American Poetry_1985,1
John Godfrey,PennSound,1
Patricia Goedicke,Dacey_Strong Measures_1986,1
Albert Goldbarth,Elliston,1
Albert Goldbarth,PennSound,1
Albert Goldbarth,voca,1
Albert Goldbarth,Dacey_Strong Measures_1986,1
Albert Goldbarth,Smith_The Morrow Anthology_1985,1
Albert Goldbarth,Vendler_Contemporary American Poetry_1985,1
Judith Goldman,PennSound,1
Judith Goldman,voca,1
Kenneth Goldsmith,PennSound,1
Kenneth Goldsmith,UbuWeb,1
Kenneth Goldsmith,voca,1
Eugen Gomringer,UbuWeb,1
Rigoberto González,voca,1
Nada Gordon,PennSound,1
Sarah Gorham,Finch_A Formal Feeling Comes_1994,1
Michael Gottlieb,PennSound,1
Dan Graham,UbuWeb,1
Jorie Graham,PennSound,1
Jorie Graham,voca,1
Jorie Graham,McClatchy_Contemporary American Poetry_1990,1
Jorie Graham,Smith_The Morrow Anthology_1985,1
Jorie Graham,Vendler_Contemporary American Poetry_1985,1
K. Lorraine Graham,PennSound,1
W. S. Graham,Hall_New Poets of England and America_1957,1
Barbara L. Greenberg,Dacey_Strong Measures_1986,1
Ted Greenwald,PennSound,1
Jane Greer,Finch_A Formal Feeling Comes_1994,1
Debora Greger,Smith_The Morrow Anthology_1985,1
Linda Gregg,Elliston,1
Linda Gregg,voca,1
Linda Gregg,Halpern_The New Poetry Anthology_1975,1
Linda Gregg,Smith_The Morrow Anthology_1985,1
Robert Grenier,PennSound,1
Emily Grosholz,Finch_A Formal Feeling Comes_1994,1
Emily Grosholz,Jarman_Rebel Angels_1996,1
Barbara Guest,PennSound,1
Charles Gullans,Hall_New Poets of England and America_1957,1
Thom Gunn,Elliston,1
Thom Gunn,voca,1
Thom Gunn,Hall_New Poets of England and America_1957,1
R. S. Gwynn,Jarman_Rebel Angels_1996,1
Brion Gysin,UbuWeb,1
H.D.,PennSound,1
Marilyn Hacker,Elliston,1
Marilyn Hacker,voca,1
Marilyn Hacker,Dacey_Strong Measures_1986,1
Marilyn Hacker,Finch_A Formal Feeling Comes_1994,1
Marilyn Hacker,Halpern_The New Poetry Anthology_1975,1
Marilyn Hacker,Jarman_Rebel Angels_1996,1
Marilyn Hacker,McClatchy_Contemporary American Poetry_1990,1
Marilyn Hacker,Smith_The Morrow Anthology_1985,1
Rachel Hadas,Finch_A Formal Feeling Comes_1994,1
Rachel Hadas,Jarman_Rebel Angels_1996,1
Kimiko Hahn,voca,1
Donald Hall,Elliston,1
Donald Hall,PennSound,1
Donald Hall,voca,1
Donald Hall,Dacey_Strong Measures_1986,1
Donald Hall,Hall_New Poets of England and America_1957,1
Mark Halperin,voca,1
Mark Halperin,Dacey_Strong Measures_1986,1
Daniel Halpern,Elliston,1
Daniel Halpern,Halpern_The New Poetry Anthology_1975,1
Daniel Halpern,Smith_The Morrow Anthology_1985,1
Michael Hamburger,Hall_New Poets of England and America_1957,1
Al Hansen,UbuWeb,1
Joy Harjo,voca,1
Edward Harkness,Dacey_Strong Measures_1986,1
Michael S. Harper,Elliston,1
Michael S. Harper,voca,1
Michael S. Harper,Halpern_The New Poetry Anthology_1975,1
Michael S. Harper,McClatchy_Contemporary American Poetry_1990,1
Michael S. Harper,Vendler_Contemporary American Poetry_1985,1
William J. Harris,PennSound,1
Jim Harrison,voca,1
Jim Harrison,Halpern_The New Poetry Anthology_1975,1
Elizabeth B. Harrod,Hall_New Poets of England and America_1957,1
Carla Harryman,PennSound,1
Charles O. Hartman,Dacey_Strong Measures_1986,1
Matthea Harvey,voca,1
Robert Hass,voca,1
Robert Hass,Halpern_The New Poetry Anthology_1975,1
Robert Hass,McClatchy_Contemporary American Poetry_1990,1
Robert Hass,Smith_The Morrow Anthology_1985,1
William Hathaway,Elliston,1
William Hathaway,Dacey_Strong Measures_1986,1
Vaclav Havel,UbuWeb,1
Robert Hayden,Dacey_Strong Measures_1986,1
Robert Hayden,McClatchy_Contemporary American Poetry_1990,1
Robert Hayden,Vendler_Contemporary American Poetry_1985,1
Terrance Hayes,Elliston,1
Terrance Hayes,voca,1
Seamus Heaney,Elliston,1
Seamus Heaney,voca,1
John Heath-Stubbs,Hall_New Poets of England and America_1957,1
Anthony Hecht,Dacey_Strong Measures_1986,1
Anthony Hecht,Hall_New Poets of England and America_1957,1
Anthony Hecht,McClatchy_Contemporary American Poetry_1990,1
Allison Adelle Hedge Coke,voca,1
Michael Heffernan,Dacey_Strong Measures_1986,1
Lyn Hejinian,Elliston,1
Lyn Hejinian,PennSound,1
Judith Hemschemeyer,Dacey_Strong Measures_1986,1
William Heyen,Dacey_Strong Measures_1986,1
William Heyen,Halpern_The New Poetry Anthology_1975,1
William Heyen,Smith_The Morrow Anthology_1985,1
Bob Hicok,Elliston,1
Dick Higgins,UbuWeb,1
Mitch Highfill,PennSound,1
Geoffrey Hill,Hall_New Poets of England and America_1957,1
Brenda Hillman,Elliston,1
Brenda Hillman,voca,1
Edward Hirsch,Dacey_Strong Measures_1986,1
Edward Hirsch,McClatchy_Contemporary American Poetry_1990,1
Edward Hirsch,Smith_The Morrow Anthology_1985,1
Åke Hodell,UbuWeb,1
Daniel Hoffman,Elliston,1
Daniel Hoffman,Dacey_Strong Measures_1986,1
Linda Hogan,voca,1
Jonathan Holden,Smith_The Morrow Anthology_1985,1
John Hollander,Elliston,1
John Hollander,Dacey_Strong Measures_1986,1
John Hollander,Hall_New Poets of England and America_1957,1
John Hollander,McClatchy_Contemporary American Poetry_1990,1
Anselm Hollo,PennSound,1
John Holloway,Hall_New Poets of England and America_1957,1
John Holmes,Ciardi_Mid-Century American Poets_1950,1
Cathy Park Hong,voca,1
Garrett Kaoru Hongo,Elliston,1
Garrett Kaoru Hongo,voca,1
Garrett Kaoru Hongo,Smith_The Morrow Anthology_1985,1
Paul Hoover,PennSound,1
David Brendan Hopes,Dacey_Strong Measures_1986,1
Ben Howard,Dacey_Strong Measures_1986,1
Richard Howard,Elliston,1
Richard Howard,voca,1
Richard Howard,Dacey_Strong Measures_1986,1
Richard Howard,McClatchy_Contemporary American Poetry_1990,1
Fanny Howe,PennSound,1
Fanny Howe,voca,1
Susan Howe,PennSound,1
Barbara Howes,Dacey_Strong Measures_1986,1
Andrew Hudgins,Elliston,1
Andrew Hudgins,Jarman_Rebel Angels_1996,1
Yunte Huang,PennSound,1
Robert Huff,Dacey_Strong Measures_1986,1
Langston Hughes,Vendler_Contemporary American Poetry_1985,1
Richard Hugo,Elliston,1
Richard Hugo,voca,1
Richard Hugo,Dacey_Strong Measures_1986,1
Richard Hugo,McClatchy_Contemporary American Poetry_1990,1
Christine Hume,voca,1
T. R. Hummer,Elliston,1
T. R. Hummer,Dacey_Strong Measures_1986,1
T. R. Hummer,Smith_The Morrow Anthology_1985,1
Erica Hunt,PennSound,1
David Ignatow,Elliston,1
David Ignatow,voca,1
Lawson Fusao Inada,voca,1
Lawson Fusao Inada,Halpern_The New Poetry Anthology_1975,1
P. Inman (Peter Inman),PennSound,1
Kenneth Irby,PennSound,1
Josephine Jacobsen,Dacey_Strong Measures_1986,1
Josephine Jacobsen,Finch_A Formal Feeling Comes_1994,1
Peter Jaeger,PennSound,1
Elizabeth James,UbuWeb,1
Thomas James,Dacey_Strong Measures_1986,1
Thomas James,Halpern_The New Poetry Anthology_1975,1
Ernst Jandl,UbuWeb,1
Mark Jarman,Elliston,1
Lisa Jarnot,PennSound,1
Randall Jarrell,Elliston,1
Randall Jarrell,Ciardi_Mid-Century American Poets_1950,1
Randall Jarrell,Dacey_Strong Measures_1986,1
Randall Jarrell,Elliott_Fifteen Modern American Poets_1956,1
Randall Jarrell,McClatchy_Contemporary American Poetry_1990,1
Randall Jarrell,Vendler_Contemporary American Poetry_1985,1
Elizabeth Jennings,Hall_New Poets of England and America_1957,1
Laura Jensen,Elliston,1
Laura Jensen,Halpern_The New Poetry Anthology_1975,1
Judson Jerome,Dacey_Strong Measures_1986,1
Denis Johnson,voca,1
Denis Johnson,Dacey_Strong Measures_1986,1
Denis Johnson,Smith_The Morrow Anthology_1985,1
Don Johnson,Smith_The Morrow Anthology_1985,1
James Weldon Johnson,PennSound,1
"Raymond Edward ""Ray"" Johnson",UbuWeb,1
Ronald Johnson,PennSound,1
Rodney Jones,Elliston,1
Rodney Jones,voca,1
Rodney Jones,Smith_The Morrow Anthology_1985,1
Erica Jong,Halpern_The New Poetry Anthology_1975,1
Erica Jong,Smith_The Morrow Anthology_1985,1
A. Van Jordan,voca,1
June Jordan,PennSound,1
June Jordan,Dacey_Strong Measures_1986,1
Andrew Joron,PennSound,1
Andrew Joron,voca,1
Allison Joseph,Elliston,1
Donald Justice,Elliston,1
Donald Justice,voca,1
Donald Justice,Dacey_Strong Measures_1986,1
Donald Justice,Hall_New Poets of England and America_1957,1
Donald Justice,McClatchy_Contemporary American Poetry_1990,1
Ilya Kaminsky,voca,1
Bhanu Kapil,PennSound,1
Bhanu Kapil,voca,1
Laura Kasischke,voca,1
Joy Katz,Elliston,1
Ellen de Young Kay,Hall_New Poets of England and America_1957,1
Richard Katrovas,voca,1
Richard Katrovas,Dacey_Strong Measures_1986,1
Claudia Keelan,Elliston,1
Greg Keeler,Dacey_Strong Measures_1986,1
Weldon Kees,Dacey_Strong Measures_1986,1
Lenore Keeshit-Tobias,Finch_A Formal Feeling Comes_1994,1
Robert Kelly,PennSound,1
Dolores Kendrick,voca,1
Dolores Kendrick,Finch_A Formal Feeling Comes_1994,1
X. J. Kennedy,Elliston,1
X. J. Kennedy,voca,1
X. J. Kennedy,Dacey_Strong Measures_1986,1
Jane Kenyon,Finch_A Formal Feeling Comes_1994,1
Jack Kerouac,UbuWeb,1
Faye Kicknosway,voca,1
Myung Mi Kim,PennSound,1
Suji Kwock Kim,voca,1
Galway Kinnell,Elliston,1
Galway Kinnell,Dacey_Strong Measures_1986,1
Galway Kinnell,McClatchy_Contemporary American Poetry_1990,1
Thomas Kinsella,voca,1
Mary Kinzie,Finch_A Formal Feeling Comes_1994,1
Carolyn Kizer,Elliston,1
Carolyn Kizer,voca,1
Carolyn Kizer,Finch_A Formal Feeling Comes_1994,1
Carolyn Kizer,McClatchy_Contemporary American Poetry_1990,1
Peter Klappert,Dacey_Strong Measures_1986,1
Peter Klappert,Halpern_The New Poetry Anthology_1975,1
August Kleinzahler,voca,1
Etheridge Knight,Elliston,1
Etheridge Knight,PennSound,1
Etheridge Knight,Dacey_Strong Measures_1986,1
Bill Knott (Saint Geraud),Elliston,1
Bill Knott (Saint Geraud),voca,1
Christopher Knowles,UbuWeb,1
Caroline Knox,Elliston,1
Kenneth Koch,Elliston,1
Kenneth Koch,PennSound,1
Kenneth Koch,voca,1
Rodney Koeneke,PennSound,1
Phyllis Koestenbaum,Finch_A Formal Feeling Comes_1994,1
