name,type,group
Richard Moore,member,poet
Rosalie Moore,member,poet
Amus Mor,member,poet
Cherríe Moraga,member,poet
Edwin Morgan,member,poet
Frederick Morgan,member,poet
John Morgan,member,poet
Robin Morgan,member,poet
Robert Morgan,member,poet
Laura Moriarty,member,poet
Hilda Morley,member,poet
Mörling Malena,member,poet
Herbert Morris,member,poet
Marianne Morris,member,poet
Robert Morris,member,poet
Simon Morris,member,poet
Simone Morris,member,poet
Tracie Morris,member,poet
Rusty Morrison,member,poet
Yedda Morrison,member,poet
"Joseph M. Mosley, Jr.",member,poet
Howard Moss,member,poet
Stanley Moss,member,poet
Thylia Moss,member,poet
Fred Moten,member,poet
Andrew Motion,member,poet
Julie Moulds,member,poet
Erin Mouré,member,poet
Jennifer Moxley,member,poet
Jenny Mueller,member,poet
Lisel Mueller,member,poet
Paul Muldoon,member,poet
Wendy Mulford,member,poet
Rick Mulkey,member,poet
Harryette Mullen,member,poet
Laura Mullen,member,poet
G. E. Murray,member,poet
Les Murray,member,poet
Pauli Murray,member,poet
David Mus,member,poet
Carol Muske-Dukes,member,poet
Jack Myers,member,poet
Eileen Myles,member,poet
Glenn Myles,member,poet
Maurizio Nannucci,member,poet
Gaston Neal,member,poet
Larry Neal,member,poet
Melanie Neilson,member,poet
Maggie Nelson,member,poet
Marilyn Nelson,member,poet
Alexandra Nemerov,member,poet
Howard Nemerov,member,poet
Amy Newman,member,poet
Michael Nicholas,member,poet
bpNichol (Barrie Phillip Nichol),member,poet
Mel Nichols,member,poet
Grace Nichols,member,poet
Jeanette Nichols,member,poet
Lorine Niedecker,member,poet
Hans-Jørgen Nielsen,member,poet
Seiichi Niikuni,member,poet
Heidi Lynn Nilsson,member,poet
John Frederick Nims,member,poet
Rick Noguchi,member,poet
Suzanne Noguere,member,poet
Eiríkur Örn Norðdahl,member,poet
George Norman,member,poet
Leslie Norris,member,poet
Charles North,member,poet
Alice Notley,member,poet
Ladislav Novák,member,poet
Mark Nowak,member,poet
Geoffrey Nutter,member,poet
Naomi Shihab Nye,member,poet
C. K. Ogden,member,poet
DT Ogilvie,member,poet
Jennifer O'Grady,member,poet
Frank O'Hara,member,poet
Christopher Okigbo,member,poet
Sharon Olds,member,poet
Carole Oles,member,poet
Mary Oliver,member,poet
Tejumola Ologboni,member,poet
Redell Olsen,member,poet
Tillie Lerner Olsen,member,poet
Charles Olson,member,poet
Michael Ondaatze,member,poet
John O'Neal,member,poet
Yoko Ono,member,poet
George Oppen,member,poet
Joel Oppenheimer,member,poet
Tom Orange,member,poet
Steve Orlen,member,poet
Peter Orlovsky,member,poet
Gregory Orr,member,poet
Simon J. Ortiz,member,poet
Barbara J. Orton,member,poet
Maggie O'Sullivan,member,poet
Brenda Marie Osbey,member,poet
Joe Osterhaus,member,poet
Alicia Ostriker,member,poet
Maureen Owen,member,poet
Rochelle Owens,member,poet
Abiodun Oyewole,member,poet
Robert Pack,member,poet
Ron Padgett,member,poet
P. K. Page,member,poet
Nam June Paik,member,poet
Frankie Paino,member,poet
Grace Paley,member,poet
Michael Palmer,member,poet
Miriam Palmer,member,poet
Suzanne Paola,member,poet
Greg Pape,member,poet
Ethan Paquin,member,poet
Parasitic Ventures,member,poet
Jay Parini,member,poet
Alan Michael Parker,member,poet
Elsie Paschen,member,poet
Linda Pastan,member,poet
Kenneth Patchen,member,poet
Charles Patterson,member,poet
G. E. Patterson,member,poet
James Patterson,member,poet
Raymond Richard Patterson,member,poet
Julie Patton,member,poet
Yüksel Pazarkaya,member,poet
Okot p'Biket,member,poet
Molly Peacock,member,poet
John Peck,member,poet
V. Penelope Pelizzon,member,poet
Georges Perec,member,poet
Bob Perelman,member,poet
Craig Santos Perez,member,poet
Stuart Z. Perkoff,member,poet
John Perreault,member,poet
Holly Pester,member,poet
Michael Pettit,member,poet
M. Nourbese Philip,member,poet
Dennis Phillips,member,poet
Tracy Philpot,member,poet
Marge Piercy,member,poet
Décio Pignatari,member,poet
Wang Ping,member,poet
Helen Pinkerton,member,poet
Wlademir Dias Pino,member,poet
Robert Pinsky,member,poet
Luiz Angelo Pinto,member,poet
Nick Piombino,member,poet
Vanessa Place,member,poet
Sylvia Plath,member,poet
Stanley Plumly,member,poet
Sterling Plumpp,member,poet
Hyam Plutzik,member,poet
Katha Pollitt,member,poet
Tom Poole,member,poet
Bern Porter,member,poet
Ezra Pound,member,poet
D. A. Powell,member,poet
Frances Presley,member,poet
Rohan B.,member,poet
Larry Price,member,poet
N. H. Pritchard,member,poet
Kevin Prufer,member,poet
Wyatt Prunty,member,poet
Queen Latifah (Dana Owens),member,poet
Raymond Queneau,member,poet
Helen Quigless,member,poet
Cathleen Quirk,member,poet
Lawrence Raab,member,poet
Thomas Rabbitt,member,poet
Charles Rafferty,member,poet
Yusuf Rahman,member,poet
Craig Raine,member,poet
Carl Rakosi,member,poet
A. K. Ramanujan,member,poet
Bin Ramke,member,poet
Heather Ramsdell,member,poet
Dudley Randall,member,poet
Julia Randall,member,poet
Margaret Randall,member,poet
Paula Rankin,member,poet
Claudia Rankine,member,poet
Lennox Raphael,member,poet
Amir Rashidd,member,poet
Niema Rashidd,member,poet
Stephen Ratcliffe,member,poet
Rochelle Ratner,member,poet
Tom Raworth,member,poet
Joanna Rawson,member,poet
David Ray,member,poet
Judith Rechter,member,poet
Eugene Redmond,member,poet
Srikanth Reddy,member,poet
Spencer Reece,member,poet
Clarence Reed,member,poet
Ishmael Reed,member,poet
Carlyle Reedy,member,poet
William Reichard,member,poet
Alastair Reid,member,poet
Christopher Reid,member,poet
Ariana Reines,member,poet
James Reiss,member,poet
Paisley Rekdal,member,poet
Naomi Replansky,member,poet
Joan Retallack,member,poet
Carl Fredrik Reuterswärd,member,poet
Donald Revell,member,poet
Kenneth Rexroth,member,poet
Barbara Jane Reyes,member,poet
Rebecca Reynolds,member,poet
Charles Reznikoff,member,poet
Adrienne Rich,member,poet
Deborah Richards,member,poet
Edward Richer,member,poet
Wendy G. Rickert,member,poet
Ridhiana,member,poet
John Ridland,member,poet
Denise Riley,member,poet
Atsuro Riley,member,poet
Terry Riley,member,poet
Suzanne Berger Rioff,member,poet
Alberto Álvaro Ríos,member,poet
Conrad Kent Rivers,member,poet
Ed Roberson,member,poet
Kim Roberts,member,poet
Steven Roberts,member,poet
Lisa Robertson,member,poet
Elizabeth Robinson,member,poet
Kit Robinson,member,poet
Sophie Robinson,member,poet
Ruthann Robson,member,poet
Stephen Rodefer,member,poet
Carolyn Rodgers,member,poet
Theodore Roethke,member,poet
Pattiann Rogers,member,poet
Matthew Rohrer,member,poet
Martha Ronk,member,poet
William Pitt Root,member,poet
Lee Ann Roripaugh,member,poet
Wendy Rose,member,poet
Raymond Roseliep,member,poet
Catie Rosemurgy,member,poet
Kenneth Rosen,member,poet
Michael J. Rosen,member,poet
Sarah Rosenblatt,member,poet
Kim Rosenfield,member,poet
Dieter Roth,member,poet
Jerome Rothenberg,member,poet
Raymond Roussel,member,poet
Camille Roy,member,poet
Kathryn Ruby,member,poet
Gibbons Ruark,member,poet
Sarah Ruden,member,poet
Mary Ruefle,member,poet
Gerhard Rühm,member,poet
Muriel Rukeyser,member,poet
Carol Rumens,member,poet
Tessa Rumsey,member,poet
Michael Ryan,member,poet
John Rybicki,member,poet
Ira Sadoff,member,poet
Luis Omar Salinas,member,poet
Mary Jo Salter,member,poet
Lisa Samuels,member,poet
Mary Ann Samyn,member,poet
Sonia Sanchez,member,poet
Kaia Sand,member,poet
Ed Sanders,member,poet
Morgan Sanders,member,poet
Sherod Santos,member,poet
Elizabeth Sargent (E. N. Sargent),member,poet
Aram Saroyan,member,poet
May Sarton,member,poet
Leslie Scalapino,member,poet
Susan Fromberg Schaeffer,member,poet
Ruth Lisa Schechter,member,poet
Roy Scheele,member,poet
James Schevill,member,poet
Robyn Schiff,member,poet
Margot Schilpp,member,poet
Peter Schjeldahl,member,poet
Dennis Schmitz,member,poet
Gjertrud Schnackenberg,member,poet
Philip Schultz,member,poet
Susan M. Schultz,member,poet
James Schuyler,member,poet
Delmore Schwartz,member,poet
Ruth L. Schwartz,member,poet
Gail Scott,member,poet
Johnie Scott,member,poet
Sharon Scott,member,poet
Gil Scott-Heron,member,poet
Winfield Townley Scott,member,poet
Maureen Seaton,member,poet
Peter Seaton,member,poet
Hugh Seidman,member,poet
Lisa Sewell,member,poet
Patty Seyburn,member,poet
Anne Sexton,member,poet
Alan Shapiro,member,poet
David Shapiro,member,poet
Karl Shapiro,member,poet
John J. Sharkey,member,poet
Brenda Shaughnessy,member,poet
Angela Shaw,member,poet
Martha Shelley,member,poet
Reginald Shepherd,member,poet
James Sherry,member,poet
Judith Johnson Sherwin,member,poet
Ara Shirinyan,member,poet
Aaron Shurin,member,poet
Eleni Sikelianos,member,poet
Richard Siken,member,poet
Jon Silkin,member,poet
Martha Silano,member,poet
Leslie Marmon Silko,member,poet
Ron Silliman,member,poet
Charles Simic,member,poet
Barbara Simmons,member,poet
"Gerald L. Simmons, Jr.",member,poet
Herbert A. Simmons,member,poet
Maurya Simon,member,poet
Leslie Simon,member,poet
Louis Simpson,member,poet
Lefty Sims,member,poet
John Sinclair,member,poet
L. E. Sissman,member,poet
C. H. Sisson,member,poet
Knute Skinner,member,poet
Floyd Skloot,member,poet
Zoë Skoulding,member,poet
David R. Slavitt,member,poet
Mary Margaret Sloan,member,poet
Edward Lucie Smith,member,poet
Patricia Smith,member,poet
Welton Smith,member,poet
Dave Smith,member,poet
Rod Smith,member,poet
Tracy K. Smith,member,poet
William Jay Smith,member,poet
W. D. Snodgrass,member,poet
Carol Snow,member,poet
Gary Snyder,member,poet
Gustaf Sobin,member,poet
Rose Solari,member,poet
Phillip Solomon,member,poet
Mary Ellen Solt,member,poet
Cathy Song,member,poet
Angela Sorby,member,poet
Gilbert Sorrentino,member,poet
Gary Soto,member,poet
Marcia Southwick,member,poet
Wole Soyinka,member,poet
Barry Spacks,member,poet
Juliana Spahr,member,poet
Adriano Spatola,member,poet
Roberta Spear,member,poet
A. B. Spellman,member,poet
Jack Spicer,member,poet
Elizabeth Spires,member,poet
Kathleen Spivack,member,poet
Daniel Spoerri,member,poet
Edward S. Spriggs,member,poet
David St. John,member,poet
William Stafford,member,poet
Maura Stanton,member,poet
George Starbuck,member,poet
Timothy Steele,member,poet
Brian Kim Stefans,member,poet
Gertrude Stein,member,poet
Jane Stembridge,member,poet
Stephany,member,poet
Philip Stephens,member,poet
Barry Sternlieb,member,poet
Wallace Stevens,member,poet
Anne Stevenson,member,poet
James T. Stewart,member,poet
Susan Stewart,member,poet
Terry Stokes,member,poet
Leon Stokesbury,member,poet
Carolyn Stoloff,member,poet
Patricia Storace,member,poet
Ruth Stone,member,poet
Mark Strand,member,poet
Catriona Strang,member,poet
Barrett Strong,member,poet
Christina Strong,member,poet
Lynn Strongin,member,poet
Dabney Stuart,member,poet
Adrienne Su,member,poet
Virgil Suárez,member,poet
Nazzam Al Sudan,member,poet
Lynn Sukenick,member,poet
Gary Sullivan,member,poet
Sun Ra (Herman Poole Blount),member,poet
Susan Sutheim,member,poet
Barton Sutter,member,poet
Brian Swann,member,poet
Cole Swensen,member,poet
Karen Swenson,member,poet
May Swenson,member,poet
Joan Swift,member,poet
Janet Sylvester,member,poet
Larissa Szporluk,member,poet
Margo Taft,member,poet
John Taggart,member,poet
Bee Bee Tan,member,poet
Nathaniel Tarn,member,poet
James Tate,member,poet
Henry Taylor,member,poet
Richard Tayson,member,poet
Brian Teare,member,poet
Roberto Tejada,member,poet
Fiona Templeton,member,poet
Jean Tepperman,member,poet
Dylan Thomas,member,poet
Richard W. Thomas,member,poet
Lorenzo Thomas,member,poet
André Thomkins,member,poet
Glen Thompson,member,poet
Nick Thurston,member,poet
Anthony Thwaite,member,poet
Susan Tichy,member,poet
Richard Tillinghast,member,poet
Larry Timewell,member,poet
Charles Tomlinson,member,poet
Jean Toomer,member,poet
Sotère Torregian,member,poet
Edwin Torres,member,poet
Rodrigo Toscano,member,poet
J. Tarin Towers,member,poet
Tony Towle,member,poet
Ann Townsend,member,poet
Elizabeth Treadwell,member,poet
Natasha Trethewey,member,poet
Wesley Trimpi,member,poet
David Trinidad,member,poet
Pimone Triplett,member,poet
Quincy Troupe,member,poet
Sam Truitt,member,poet
Kitty Tsui,member,poet
Lewis Turco,member,poet
Darwin T. Turner,member,poet
Frederick Turner,member,poet
Chase Twichell,member,poet
Tristan Tzara,member,poet
Alpay Ulku,member,poet
John Updike,member,poet
Enrique Uribe Valdivielso,member,poet
Jean Valentine,member,poet
Alden Van Buskirk,member,poet
Mona Van Duyn,member,poet
Allen Van Newkirk,member,poet
Reetika Vazirani,member,poet
Tom Veitch,member,poet
Franco Verdi,member,poet
Paul Vesey,member,poet
Lisa Vice,member,poet
Cecilia Vicuña,member,poet
Peter Viereck,member,poet
Anthony R. Vigil,member,poet
Alma Luz Villanueva,member,poet
Julia Vinograd,member,poet
Paul Violi,member,poet
Ellen Bryant Voigt,member,poet
Arthur Vogelsang,member,poet
Karen Volkman,member,poet
Paul de Vree,member,poet
Catherine Wagner,member,poet
David Wagoner,member,poet
Jeffrey Wainwright,member,poet
Jacques Wakefield,member,poet
Diane Wakoski,member,poet
Derek Walcott,member,poet
Anne Waldman,member,poet
G. C. Waldrep,member,poet
Keith Waldrop,member,poet
Rosmarie Waldrop,member,poet
Alice Walker,member,poet
Margaret Walker,member,poet
Michele Wallace,member,poet
Ronald Wallace,member,poet
Beatrice Walter,member,poet
Malaika Ayo Wangara,member,poet
Marilyn N. Waniek,member,poet
David Scott Ward,member,poet
Diane Ward,member,poet
Thom Ward,member,poet
Andy Warhol,member,poet
James Waring,member,poet
Candice Warne,member,poet
Robert Penn Warren,member,poet
Rosanna Warren,member,poet
Lewis Warsh,member,poet
Raymond Washington,member,poet
Michael Waters,member,poet
Craig Watson,member,poet
Barrett Watten,member,poet
Carol Watts,member,poet
Tom Weatherly,member,poet
Roger Weingarten,member,poet
Joe Wenderoth,member,poet
Ingrid Wendt,member,poet
Bruce Weigl,member,poet
Hannah Weiner,member,poet
Theodore Weiss,member,poet
Ron Welburn,member,poet
James Welch,member,poet
Lew Welch,member,poet
Marjorie Welish,member,poet
Mac Wellman,member,poet
Darren Wershler,member,poet
Christine Wertheim,member,poet
Kathleene West,member,poet
Mildred Weston,member,poet
Rachel Wetzsteon,member,poet
Philip Whalen,member,poet
Susan Wheeler,member,poet
Gail White,member,poet
Jon Manchip White,member,poet
Lawrence L. White,member,poet
Tyner White,member,poet
James Whitehead,member,poet
Roberta Hill Whiteman,member,poet
Norman Whitfield,member,poet
Carolyn B. Whitlow,member,poet
Ruth Whitman,member,poet
Susan M. Whitmore,member,poet
Joyce Whitsitt,member,poet
Reed Whittemore,member,poet
Wendy Wieber,member,poet
Wiener Gruppe,member,poet
John Wieners,member,poet
Dara Wier,member,poet
Richard Wilbur,member,poet
Peter Wild,member,poet
Joshua Marie Wilkinson,member,poet
Nancy Willard,member,poet
C. K. Williams,member,poet
Crystal Williams,member,poet
Emmett Williams,member,poet
John A. Williams,member,poet
Jonathan Williams,member,poet
Lisa Williams,member,poet
Miller Williams,member,poet
William Carlos Williams,member,poet
Greg Williamson,member,poet
Elizabeth Willis,member,poet
Emily Wilson,member,poet
Reginald Wilson,member,poet
Steve Wilson,member,poet
Ted Wilson,member,poet
Christian Wiman,member,poet
Sigmonde Wimberli,member,poet
Fran Winant,member,poet
Max Winter,member,poet
Sara Wintz,member,poet
Suzanne Wise,member,poet
Harold Witt,member,poet
Sam Witt,member,poet
David Wojahn,member,poet
Helen Wolfert,member,poet
Christian Wolff,member,poet
Daniel Wolff,member,poet
Rebecca Wolff,member,poet
Lissa Wolsak,member,poet
Nellie Wong,member,poet
Elisabeth Workman,member,poet
James Worley,member,poet
Baron Wormser,member,poet
C. D. Wright,member,poet
Celeste T. Wright,member,poet
Charles Wright,member,poet
James Wright,member,poet
Jay Wright,member,poet
Judith Wright,member,poet
Richard Wright,member,poet
Mark Wunderlich,member,poet
Elinor Wylie,member,poet
M. Wyrebek,member,poet
Pedro Xisto,member,poet
Mitsuye Yamada,member,poet
Yasuo Fujitomi,member,poet
John Yau,member,poet
William Butler Yeats,member,poet
Monica Youn,member,poet
Al Young,member,poet
C. Dale Young,member,poet
David Young,member,poet
Dean Young,member,poet
Kevin Young,member,poet
La Monte Young,member,poet
Yvonne,member,poet
Katayoon Zandvakili,member,poet
Matthew Zapruder,member,poet
Andrew Zawacki,member,poet
Lisa Zeidner,member,poet
Paul Zimmer,member,poet
Evan Zimroth,member,poet
Ahmos Zu-Bolton II,member,poet
Rachel Zucker,member,poet
Louis Zukofsky,member,poet
Steven Zultanski,member,poet
Vladimir Zykov,member,poet
Elliston,institution,Audio Archives
PennSound,institution,Audio Archives
UbuWeb,institution,Audio Archives
Voca,institution,Audio Archives
Bernstein_43 Poets_1985,institution,Avant-garde
Bernstein_Language Sampler_1982,institution,Avant-garde
Berg_Naked Poetry_1969,institution,Teaching/Survey
Berg_The New Naked Poetry_1976,institution,Teaching/Survey
Bracey_SOS_2014,institution,The Black Arts Movement
Brooks_Jump Bad_1971,institution,The Black Arts Movement
Carroll_The Young American Poets_1968,institution,Emergent Poets
Chapman_New Black Voices_1972,institution,The Black Arts Movement
Chester_Rising Tides_1973,institution,The Feminist Poetry Movement
Ciardi_Mid-Century American Poets_1950,institution,Teaching/Survey
Costanzo_American Poetry_2000,institution,Emergent Poets
Critchley_Out of Everywhere 2_2015,institution,Avant-garde
Dacey_Strong Measures_1986,institution,New Formalism
Dumanis_Legitimate Dangers_2006,institution,Emergent Poets
Dworkin_Against Expression_2011,institution,Avant-garde
Elliott_Fifteen Modern American Poets_1956,institution,Teaching/Survey
Finch_A Formal Feeling Comes_1994,institution,New Formalism
Gardner_Flarf_2017,institution,Avant-garde
Goldsmith_Flarf & Conceptual Writing_2009,institution,Avant-garde
Hall_New Poets of England and America_1957,institution,Teaching/Survey
Halpern_The New Poetry Anthology_1975,institution,Emergent Poets
Hoover_Postmodern American Poetry_1994,institution,Teaching/Survey
Hoover_Postmodern American Poetry_2013,institution,Teaching/Survey
Howe_No More Masks!_1973,institution,The Feminist Poetry Movement
Iverson_We Become New_1975,institution,The Feminist Poetry Movement
Jarman_Rebel Angels_1996,institution,New Formalism
Jones_Black Fire_1968,institution,The Black Arts Movement
Jordan_soulscript_1970,institution,The Black Arts Movement
"King, Jr._The Forerunners_1975",institution,The Black Arts Movement
Major_The New Black Poetry_1969,institution,The Black Arts Movement
McClatchy_Contemporary American Poetry_1990,institution,Teaching/Survey
McGann_Postmodern Poetries_1990,institution,Avant-garde
Messerli_A New American Poetry_1994,institution,Teaching/Survey
"Messerli_""Language"" Poetries_1994",institution,Avant-garde
Myers_The Poets of the New York School_1969,institution,Avant-garde
Nelson_Contemporary American Poetry_2015,institution,Teaching/Survey
O'Sullivan_Out of Everywhere_1996,institution,Avant-garde
Padgett_An Anthology of New York Poets_1970,institution,Avant-garde
Piercy_Early Ripening_1987,institution,The Feminist Poetry Movement
Prufer_The New Young American Poets_2000,institution,Emergent Poets
Ramazani_Contemporary Poetry_2003,institution,Teaching/Survey
Randall_For Malcolm_1969,institution,The Black Arts Movement
Rankine_American Women Poets_2002,institution,Teaching/Survey
Allen_The New American Poetry_1960,institution,Avant-garde
Rankine_American Poets in the 21st Century_2007,institution,Teaching/Survey
Rankine_Eleven More American Women Poets_2012,institution,Teaching/Survey
Rankine_American Poets in the 21st Century_2018,institution,Teaching/Survey
Richman_The Direction of Poetry_1988,institution,New Formalism
Segnitz_Psyche_1973,institution,The Feminist Poetry Movement
Sewell_North American Women Poets in the 21st Century_2020,institution,Teaching/Survey
Shepherd_The Iowa Anthology_2004,institution,Teaching/Survey
Shepherd_Lyric Postmodernisms_2008,institution,Teaching/Survey
Silliman_In the American Tree_1986,institution,Avant-garde
Silliman_The Dwelling Place_1975,institution,Avant-garde
Axelrod_Postmodernisms_2012,institution,Teaching/Survey
Silliman_Realism_1982,institution,Avant-garde
Sloan_Moving Borders_1998,institution,Avant-garde
Smith_The Morrow Anthology_1985,institution,Emergent Poets
Swensen_American Hybrid_2009,institution,Teaching/Survey
Vendler_Contemporary American Poetry_1985,institution,Teaching/Survey
Weinberger_American Poetry Since 1950_1993,institution,Teaching/Survey
Williams_An Anthology of Concrete Poetry_1963,institution,Avant-garde
Young_An Anthology of Chance Operations_1963,institution,Avant-garde
