name,type,group
Kenneth Carroll,member,poet
Paul Carroll,member,poet
Hayden Carruth,member,poet
Anne Carson,member,poet
Keith Cartwright,member,poet
Turner Cassity,member,poet
Ana Castillo,member,poet
Charles Causley,member,poet
Blaise Cendrars,member,poet
Joseph Ceravolo,member,poet
Lorna Dee Cervantes,member,poet
Theresa Hak Kyung Cha,member,poet
Len Chandler,member,poet
Fred Chappell,member,poet
Hayan Charara,member,poet
Helen Chasin,member,poet
Lisa D. Chavez,member,poet
Maxine Chernoff,member,poet
Kelly Cherry,member,poet
Laura Chester,member,poet
Dan Chiasson,member,poet
Abigail Child,member,poet
Justin Chin,member,poet
Marilyn Chin,member,poet
A. V. Christie,member,poet
Nicholas Christopher,member,poet
Bao-Long Chu,member,poet
John Ciardi,member,poet
Sandra Cisneros,member,poet
Thomas Claburn,member,poet
Paula Claire,member,poet
Amy Clampitt,member,poet
Carl Clark,member,poet
Elisabeth S. Clark,member,poet
Tom Clark,member,poet
Cheryl Clarke,member,poet
Killarney Clary,member,poet
Carlfriedrich Claus,member,poet
Carole Gregory Clemmons,member,poet
Michelle Cliff,member,poet
Lucille Clifton,member,poet
Claude Closky,member,poet
Joshua Clover,member,poet
Bob Cobbing,member,poet
Andrei Codrescu,member,poet
Lisa Coffman,member,poet
Henri Cole,member,poet
Norma Cole,member,poet
Wanda Coleman,member,poet
Martha Collins,member,poet
Carrie St. George Comer,member,poet
Gillian Conoley,member,poet
Conyus,member,poet
Mike Cook,member,poet
Jennifer Cooke,member,poet
Nicole Cooley,member,poet
Peter Cooley,member,poet
Clark Coolidge,member,poet
Dennis Cooper,member,poet
Jane Cooper,member,poet
Corina Copp,member,poet
William Corbett,member,poet
Martin Corless-Smith,member,poet
Cid Corman,member,poet
Alfred Corn,member,poet
Sam Cornish,member,poet
Gregory Corso,member,poet
Jayne Cortez,member,poet
Gerald Costanzo,member,poet
Jonathan Cott,member,poet
Henri Coulette,member,poet
Hart Crane,member,poet
Robert Creeley,member,poet
Emily Critchley,member,poet
Ranice Henderson Crosby,member,poet
Stanley Crouch,member,poet
Cynthia Cruz,member,poet
Victor Hernández Cruz,member,poet
Katherine L. Cuestas,member,poet
Countee Cullen,member,poet
J. V. Cunningham,member,poet
James Cunningham,member,poet
Barbara Brinson Curiel,member,poet
Linda Curry,member,poet
Philip Dacey,member,poet
Beverly Dahlen,member,poet
Maria Damon,member,poet
Rosemary Daniell,member,poet
James Danner,member,poet
Margaret Danner,member,poet
Ann Darr,member,poet
Tina Darragh,member,poet
Lesley Dauer,member,poet
Glover David,member,poet
Joy Davidman,member,poet
Michael Davidson,member,poet
Donald Davie,member,poet
Alan Davies,member,poet
Brian Joseph Davis,member,poet
Catherine Davis,member,poet
Christopher Davis,member,poet
Dick Davis,member,poet
Frank Marshall Davis,member,poet
Gloria Davis,member,poet
Jordan Davis,member,poet
