name,type
Charles O. Hartman,member
Matthea Harvey,member
Robert Hass,member
William Hathaway,member
Vaclav Havel,member
Robert Hayden,member
Terrance Hayes,member
Seamus Heaney,member
John Heath-Stubbs,member
Anthony Hecht,member
Allison Adelle Hedge Coke,member
Michael Heffernan,member
Lyn Hejinian,member
Judith Hemschemeyer,member
William Heyen,member
Bob Hicok,member
Dick Higgins,member
Mitch Highfill,member
Geoffrey Hill,member
Brenda Hillman,member
Edward Hirsch,member
Åke Hodell,member
Daniel Hoffman,member
Linda Hogan,member
Jonathan Holden,member
John Hollander,member
Anselm Hollo,member
John Holloway,member
John Holmes,member
Cathy Park Hong,member
Garrett Kaoru Hongo,member
Paul Hoover,member
David Brendan Hopes,member
Ben Howard,member
Richard Howard,member
Fanny Howe,member
Susan Howe,member
Barbara Howes,member
Andrew Hudgins,member
Yunte Huang,member
Robert Huff,member
Langston Hughes,member
Richard Hugo,member
Christine Hume,member
T. R. Hummer,member
Erica Hunt,member
David Ignatow,member
Lawson Fusao Inada,member
P. Inman (Peter Inman),member
Kenneth Irby,member
Josephine Jacobsen,member
Peter Jaeger,member
Elizabeth James,member
Thomas James,member
Ernst Jandl,member
Mark Jarman,member
Lisa Jarnot,member
Randall Jarrell,member
Elizabeth Jennings,member
Laura Jensen,member
Judson Jerome,member
Denis Johnson,member
Don Johnson,member
James Weldon Johnson,member
"Raymond Edward ""Ray"" Johnson",member
Ronald Johnson,member
Rodney Jones,member
Erica Jong,member
A. Van Jordan,member
June Jordan,member
Andrew Joron,member
Allison Joseph,member
Donald Justice,member
Ilya Kaminsky,member
Bhanu Kapil,member
Laura Kasischke,member
Joy Katz,member
Ellen de Young Kay,member
Richard Katrovas,member
Claudia Keelan,member
Greg Keeler,member
Weldon Kees,member
Lenore Keeshit-Tobias,member
Robert Kelly,member
Dolores Kendrick,member
X. J. Kennedy,member
Jane Kenyon,member
Jack Kerouac,member
Faye Kicknosway,member
Myung Mi Kim,member
Suji Kwock Kim,member
Galway Kinnell,member
Thomas Kinsella,member
Mary Kinzie,member
Carolyn Kizer,member
Peter Klappert,member
August Kleinzahler,member
Etheridge Knight,member
Bill Knott (Saint Geraud),member
Christopher Knowles,member
Caroline Knox,member
Kenneth Koch,member
Rodney Koeneke,member
Phyllis Koestenbaum,member
Sybil Kollar,member
Yusef Komunyakaa,member
Ted Kooser,member
Aaron Kramer,member
Judith Kroll,member
Maxine Kumin,member
Stanley Kunitz,member
Greg Kuzma,member
Joanne Kyger,member
Melvin Walker La Follette,member
Joan LaBombard,member
Philip Lamantia,member
Joseph Langland,member
Philip Larkin,member
Paul Lake,member
James Laughlin,member
Ann Lauterbach,member
Robert Layzer,member
Sydney Lea,member
Joseph Lease,member
Al Lee,member
Li-Young Lee,member
Barbara Lefcowitz,member
David Lehman,member
Leevi Lehto,member
Brad Leithauser,member
Ben Lerner,member
Rika Lesser,member
Denise Levertov,member
Dana Levin,member
Phillis Levin,member
Philip Levine,member
Fred Levinson,member
Larry Levis,member
Janet Lewis,member
Elizabeth Libbey,member
Tan Lin,member
Timothy Liu,member
John Logan,member
William Logan,member
Arrigo Lora-Totino,member
Audre Lorde,member
Robert Lowell,member
Susan Ludvigson,member
Thomas Lux,member
Karen Mac Cormack,member
Jackson Mac Low,member
Cynthia MacDonald,member
Nathaniel Mackey,member
Michael Magee,member
Gerald Malanga,member
Donato Mancini,member
Tom Mandel,member
